,Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20
0,TYPE (النوع),(All),,,,,,,,,,,,,,,,,,,
1,GBO (البرامج),(All),,,,,,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,,,,,,,,
3,,Column Labels,,,,,,,,,,,,,,,,,,,
4,,2008,,2009,,2010,,2011,,2012,,2013,,2014,,2015,,2016,,Total Sum of LOI DE FINANCE,Total Sum of OUVERT (الموزع)
5,Row Labels,Sum of LOI DE FINANCE,Sum of OUVERT (الموزع),Sum of LOI DE FINANCE,Sum of OUVERT (الموزع),Sum of LOI DE FINANCE,Sum of OUVERT (الموزع),Sum of LOI DE FINANCE,Sum of OUVERT (الموزع),Sum of LOI DE FINANCE,Sum of OUVERT (الموزع),Sum of LOI DE FINANCE,Sum of OUVERT (الموزع),Sum of LOI DE FINANCE,Sum of OUVERT (الموزع),Sum of LOI DE FINANCE,Sum of OUVERT (الموزع),Sum of LOI DE FINANCE,Sum of OUVERT (الموزع),,
6,2,,,,,,,,,,,,,,,,,4842500,15042879,4842500,15042879
7,21 Protection des Zones Urbaines des innondations,,,,,,,,,,,,,,,,,1625000,12425000,1625000,12425000
8,22 Protection de la cote littoral,,,,,,,,,,,,,,,,,3217500,2617879,3217500,2617879
9,1 Acquisition au profit de l'etat et gestion des proprietes non agricole,,,,,,,,,,,,,,,3231456,4106506.4450000003,3307000,3351697,6538456,7458203.445
10,1 Arts,,,,,,,,,,,,,,,16439000,18181191,18648153,15722653,35087153,33903844
11,1 Commerce Interne,,,,,,,,,,,,,,,,,1622033000,1622033000,1622033000,1622033000
12,1 Cooperation Internationale,,,,,,,,,,,,,,,27555000,29281944.397,,,27555000,29281944.397
13,1 Cycle Primaire au Nord,,,,,,,,,,,339444633,352957758.911,362851116,373763705.512,366697700,415690085.31500006,432632500,447787743.05,1501625949,1590199292.788
14,1 Douane,,,,,,,,,,,,,180207000,182982440,200557000,210174149,213489000,216169264,594253000,609325853
15,1 Education Superieure Nord,,,,,,,,,,,364270500,341590515.4009999,370859500,361997675.558,356270000,374992943.02199996,374315000,374096510.36399996,1465715000,1452677644.3449998
16,1 Emploi et Relation Professionnelle,,,,,,,,,,,,,,,15450562.000000004,16144587.150000002,17298567.00000001,17274567.00000001,32749129.000000015,33419154.150000013
17,1 Energie,,,,,,,,,,,,,2561001338,2361271338,1295149500,1294976500,587995000,586335000,4444145838,4242582838
18,1 Environment et Qualite de Vie,,,,,,,,,,,,,,,,,143585000,33862000,143585000,33862000
19,1 Femme et Famille,,,,,,,,,,,,,,,3986000,4521610,3580000,3420000,7566000,7941610
20,1 Formation Professionnelle,,,,,,,,,,,,,195004000,193747445,209038000,214865500,220069000,219316000,624111000,627928945
21,1 Infrastructure Digitale,,,,,,,,,,,,,,,,,1400935,1422718,1400935,1422718
22,1 Infrastructures des Routes,,,,,,,,,,,,,,,,,83080000,262080294.3310001,83080000,262080294.3310001
23,1 Jeunesse,,,,,,,,,,,,,,,70004999.99999999,96068114.39999999,83845551.99999996,89045551.99999994,153850551.99999994,185113666.39999992
24,1 Leadership du secteur touristique,,,,,,,,,,,,,,,118213000,123496883,114432000,47264000,232645000,170760883
25,"1 Offre, Soutien et controle du marché et l'investissement commerciale",,,,,,,,,,,,,,,1551822000,1551337771.6199996,,,1551822000,1551337771.6199996
26,1 Planification et Analyses,,,,,,,,,,,,,,,31887250,31677250,35000000,27410000,66887250,59087250
27,1 Ponts et Routes,,,,,,,,,,,,,510056500,525492075.1299998,245975500,762530220.2939999,,,756032000,1288022295.4239998
28,"1 Production Agricole, Qualite, et Securite Sanitaire des produits agricoles et alimentaires",,,,,,,,,,,87936700,110565503.94200002,108935500,127993191,118746499.99999994,149793792.02099997,124030500.00000001,62342218.000000015,439649199.99999994,450694704.963
29,"1 Protection de l'environment, ressources naturelles, et amelioration de la qualite de vie",,,,,,,,,,,,,,,145148502,153614284.391,,,145148502,153614284.391
30,1 Services de santé de base,,,,,,,,,,,221369000,211345666.97200003,219587000,219778113.34400007,219159600.00000006,266338085.26000008,241900000,244283161.476,902015600,941745027.0520003
31,1 Transport Routier,,,,,,,,,,,,,534492493,602507993,578434600,576357273.816,588398000,427028000,1701325093,1605893266.816
32,2 Affaires Electroniques ,,,,,,,,,,,,,,,,,10049740,10049740,10049740,10049740
33,2 Assurance Sociale,,,,,,,,,,,,,,,107823010,143872859,183946877,73504877,291769887,217377736
34,2 Aviation Civile,,,,,,,,,,,,,1565020,6167519.999999999,28747400,28747400,3433000,3433000,33745420,38347920
35,2 Collection,,,,,,,,,,,,,101389700,109452161.28199999,112219000,120506653.85,127366999.99999997,127749144.99999997,340975700,357707960.13199997
36,2 Commerce Externe,,,,,,,,,,,,,,,,,33245000,28105000,33245000,28105000
37,2 Commerce Externe et Integration Sociale et Commerciale,,,,,,,,,,,,,,,36996000,32307427,,,36996000,32307427
38,2 Cycle Primaire au Milieu,,,,,,,,,,,434632738,454408065,465125136,509267870.831,498850816.0000001,562049629.302,577970500,589812210.327,1976579190,2115537775.46
39,2 Developpement durable,,,,,,,,,,,,,,,3921571,4964129.116,3939000,3724000,7860571,8688129.116
40,2 Developpement Regionale,,,,,,,,,,,,,,,372915743,360070394.452,371392500,79440558,744308243,439510952.452
41,2 E-Commerce et Economie Immaterielle,,,,,,,,,,,,,,,,,186000,186000,186000,186000
42,2 Education Superieure au Milieu,,,,,,,,,,,186316000,198202952.597,227579500,221763716.71100003,221021000,235041184.39299998,233312000,237520127.607,868228500,892527981.308
43,2 E-Gouvernement,,,,,,,,,,,,,,,,,498725,498725,498725,498725
44,2 Emploi,,,,,,,,,,,,,54324000,55446355,54676000,54304000,55156000,44261000,164156000,154011355
45,2 Enfance,,,,,,,,,,,,,,,61661000,65892347.5,76903000,76903000,138564000,142795347.5
46,2 Gestion des proprietes agricoles,,,,,,,,,,,,,,,2080307,2965567.0000000005,2221000,2257309,4301307,5222876
47,2 Industrie,,,,,,,,,,,,,109222311,60051865.041999996,71172000,83231391.70500001,72024000,35067190.607,252418311,178350447.354
48,2 Industrie Traditionnelles,,,,,,,,,,,,,,,,,17515000,10800000,17515000,10800000
49,2 Investissement Externe,,,,,,,,,,,,,,,7293000,6843720.931,,,7293000,6843720.931
50,2 Livre et Lecture,,,,,,,,,,,,,,,6520500,16058628.002,8300648,10844048,14821148,26902676.002
51,2 Peche Maritime et Acquaculture,,,,,,,,,,,16055900,14802263.137,19033000,14694927,4593000,23040584,5343000,7618288.796000001,45024900,60156062.933000006
52,2 Protection des Cites et Littoral,,,,,,,,,,,,,37049500,34150243.393,31921500,35031619.128,,,68971000,69181862.521
53,2 Services Hospitaliers,,,,,,,,,,,546358000,531836243.86199987,558496000,543443179.8309997,582112900.0000001,639018040.1949999,630047000,635008761.636,2317013900,2349306225.5239997
54,2 Sport,,,,,,,,,,,,,,,49485000,91587910.919,52931152.05999999,59460952.05999999,102416152.05999999,151048862.97899997
55,3 Amenagement Territoriale et Cite,,,,,,,,,,,,,128524000,38957915.640999995,82102000,128524256.03499998,,,210626000,167482171.67599997
56,"3 Amenagement Territoriale, Urbain, et Logement",,,,,,,,,,,,,,,,,14650000,16270437.624,14650000,16270437.624
57,3 Avancement Sociale,,,,,,,,,,,,,,,592561966.9999992,576203718.6269991,609972563.0000007,609976821.5850008,1202534530,1186180540.212
58,3 Commerce Maritime,,,,,,,,,,,,,10525988,10295988,29035400,33435400,11902000,10502000,51463388,54233388
59,3 Comptabilite Publique,,,,,,,,,,,,,147670000,155821019.872,162765000,189202899,185986000,186937540,496421000,531961458.872
60,3 Controle du patrimoine de l'etat et protection des droits ,,,,,,,,,,,,,,,7322694,9588434.700000001,7992000,7992000,15314694,17580434.700000003
61,3 Copperation Internationale,,,,,,,,,,,,,,,,,35953500,30678500,35953500,30678500
62,3 Cycle Primaire au Sud,,,,,,,,,,,357191903,359476903,384082748,400513867.5,398348484,450464534.69799995,476261000,483232530.674,1615884135,1693687835.872
63,3 Eau,,,,,,,,,,,223900300,158229084.90300003,143072100,113508577.362,199507701,309391000.80999994,55805999.99999999,78839174.75099996,622286101,659967837.826
64,3 Education Physique,,,,,,,,,,,,,,,33136999.999999993,71427155.561,209528814.00000006,209528814.00000006,242665814.00000006,280955969.56100005
65,3 Education Superieure au Sud,,,,,,,,,,,299182500,295175881.5759999,330099000,328832208.13100004,317487000,347749586.621,358053113,359196571.333,1304821613,1330954247.661
66,3 Industrie Traditionnelle,,,,,,,,,,,,,,,10625000,12099691,,,10625000,12099691
67,3 Mines,,,,,,,,,,,,,6390056,6440056,7197000,7197000,7847000,6052000,21434056,19689056
68,3 Personnes âgées,,,,,,,,,,,,,,,10215000,10422390,10779000,10779000,20994000,21201390
69,3 Recherche et Services Hospitaliers Universitaire,,,,,,,,,,,533777000,507087527.7599998,549271000,531587763.6520001,560433500,612183933.578,611543000,612713225.435,2255024500,2263572450.4249997
70,3 Travail Culturel,,,,,,,,,,,,,,,15346000,31115055.439000003,15575309,18888880.536,30921309,50003935.975
71,4 Batiments Delegue,,,,,,,,,,,,,10729000,11345799,11054000,24979840.799999997,,,21783000,36325639.8
72,4 Cycle Preparatoire et Enseignement Secondaire au Nord,,,,,,,,,,,710898085,701465725.6930001,750602697,742120823.3310002,721806076,800046236.5820001,857047000,872824520.048,3040353858,3116457305.6540003
73,4 Developpement du Secteur de Construction,,,,,,,,,,,,,,,,,9746500,17984500,9746500,17984500
74,4 E-commerce et économie immatérielle,,,,,,,,,,,,,,,203000,203000,,,203000,203000
75,4 Emploi Externe,,,,,,,,,,,,,,,,,325800,325800,325800,325800
76,4 Forets et Amenagements des proprietes agricoles,,,,,,,,,,,259432900,212957493.67,189399300,206271929.132,144506485.99999994,280809420.2,133069999.99999994,175895499.99999997,726408686,875934343.002
77,4 Immigration et Tunisien a l'etranger,,,,,,,,,,,,,,,18934495,17485495,18339454,17568454,37273949,35053949
78,4 Investissement Externe,,,,,,,,,,,,,,,,,5931700,4931700,5931700,4931700
79,4 Meteorologie,,,,,,,,,,,,,3350000,4125000,4046000,3720000,4350000,3000000,11746000,10845000
80,4 Moyens du budget,,,,,,,,,,,,,4901100,5861100,5263000,6098347,6543000,6543000,16707100,18502447
81,4 Patrimoine,,,,,,,,,,,,,,,25880400,30964600,34664137,34633137,60544537,65597737
82,4 Recherche Scientifique Universitaire,,,,,,,,,,,6350000,1794869.462,1750000,4144444.5379999997,368000,3169000,368000,2815500,8836000,11923814
83,5 Cycle preparatoire et enseignement secondaire dans le milieu,,,,,,,,,,,754108985,767173762.3659999,810753122,808801739.6149999,801247518,875333437.7129999,949117000,964665473.0569999,3315226625,3415974412.7509995
84,5 Dette Publique,,,,,,,,,,,,,879600,964600,975000,1383857,1166000,1166000,3020600,3514457
85,"5 Education Superieure, Recherche, Formation, et Supervision Agricole",,,,,,,,,,,113058200,139161526.93099996,135276200,135387006,137915422,152336570.478,153141000,153081943.2,539390822,579967046.609
86,5 Recherche scientifique au Nord,,,,,,,,,,,71510000,62648594.348,63771200,58185266.96299999,32780000,59943828.02500001,30830000,33658438.937,198891200,214436128.273
87,6 Cycle preparatoire et enseignement secondaire au Sud,,,,,,,,,,,647443284,650295800.7270001,695932181,679737227.7190001,670910274,730009019.0150002,818878000,829882768.346,2833163739,2889924815.807
88,6 Recherche Scientifique au Sud,,,,,,,,,,,16010000,8258877.9969999995,16998800,25077862.704,12444000,22655640.47,12206000,17036344.117,57658800,73028725.28799999
89,7  Programme des Services Universitaires,,,,,,,,,,,270977000,258003484.882,262516000,256684208.30199993,273407000,289686009.1149998,289433000,296148141.55200005,1096333000,1100521843.8509998
90,7 Leadership et Soutien au Nord,,,,,,,,,,,112123249,103442883.72299999,145457929,108847514.68100002,292637802,110764485.48099999,116841500,118200473.79100001,667060480,441255357.676
91,8 Leadership et Soutien - Education Superieure,,,,,,,,,,,50787000,40485894.783,47756000,37662399.707,43471000,43551749.416999996,27156000,29325977.858,169170000,151026021.76500002
92,8 Leadership et Soutien au Milieu,,,,,,,,,,,40574683,42371683,44545676,44895828,46850108,44432147.99999999,56807000,56882000,188777467,188581659
93,9 Leadership et Soutien,,,,,,,,,,,392468000,378284754.067,487705294,465048740.9390001,965673955.7459999,911776956.4649986,1013056344.3110003,745570557.0439997,2858903594.057,2500681008.5149984
94,9 Leadership et Soutien - Recherche Scientifique,,,,,,,,,,,8081000,7249615.302999998,7615000,5422281.977999998,5419000,5778083.009,4723000,5167910,25838000,23617890.289999995
95,9 Leadership et Soutien au Sud,,,,,,,,,,,33243440,36509440,36362395,41085193,41371020.99999999,40113645.99999999,51183500,51378500,162160356,169086779
96,,586800000,16163439674.999992,718800000,17609897261.999992,987500000,18340947418.377983,1217000000,21223323047.584,1080600000,24558367726.00003,20423897000,19724116781.336006,14486833000,14205004896.450005,11073604127,10946717908,12011694899.999998,5560687906.337999,62586729027,148332502621.08603
97,Projets non-affectes a un programme,,,,,,,,,,,313357684,228869422.98700002,1478277926,1421764100.5990002,1942422688,296652338.8119999,2303488000,714182855.1709999,6037546298,2661468717.5690002
98,Grand Total,586800000,16163439674.999992,718800000,17609897261.999992,987500000,18340947418.377983,1217000000,21223323047.584,1080600000,24558367726.00003,27834755684,26898768978.336006,27997825926,27358367174.450005,27527050035.746002,27287298850.274998,28901618983.371002,20106676086.651005,116851950629.117,199547086218.67404
